tissue	spearman_psi	spearman_delta	n_valid_psi	n_valid_delta
Adrenal Gland	0.9558586542162696	0.04144950763617713	102	102
Amygdala - Brain	0.9359744958019988	0.08214645516279809	103	103
Anterior cingulate - Brain	0.971596310596912	-0.016344202907660293	103	103
Aorta - Artery	0.9612495734520258	0.08150121022523864	104	104
Atrial Appendage - Heart	0.9692568129752505	-0.1553915275228717	106	106
Bladder	0.8676804759534544	-0.016491759522990028	90	90
Caudate nucleus - Brain	0.9715289398915891	0.08926415840922773	106	106
Cerebellar Hemisphere - Brain	0.9593721875718874	-0.10463303007044995	103	103
Cerebellum - Brain	0.9694814606304563	0.19561435012648662	101	101
Coronary - Artery	0.9732198035329211	0.10692813364427549	103	103
Cortex - Brain	0.9661369105459651	-0.042683088894003594	108	108
Cortex - Kidney	0.934135371669755	-0.19308608443588351	95	95
EBV-xform lymphocytes - Cells	0.9149517429352672	0.08295738791674542	96	96
Ectocervix - Cervix	0.885228567635932	-0.08796283726666476	83	83
Endocervix - Cervix	0.8591958796925243	-0.011676450008529776	83	83
Fallopian Tube	0.8937056769029312	0.154728589775433	88	88
Frontal Cortex - Brain	0.9646819023602192	-0.02040019088052203	108	108
Gastroesoph. Junc. - Esophagus	0.9740297185019036	-0.014366832199100413	104	104
Hippocampus - Brain	0.9478691744231906	-0.07963733198965844	104	104
Hypothalamus - Brain	0.9642953416049673	-0.1123658391397601	104	104
Ileum - Small Intestine	0.9555355215701428	-0.039169742094771386	104	104
Left Ventricle - Heart	0.9629184209643652	0.013689566764248264	103	103
Leukemia (CML) - Cells	0.8978170340171031	0.11681920897483544	89	89
Liver	0.9383269467537941	0.18668612469280013	101	101
Lung	0.9630665241487628	0.029967673310286033	108	108
Mammary Tissue - Breast	0.9750182359585101	0.09841838360265212	102	102
Minor Salivary Gland	0.9578510492871424	0.022478219633586222	101	101
Mucosa - Esophagus	0.9581809409596178	-0.21334622961571498	103	103
Muscularis - Esophagus	0.9658965446738639	-0.05114325214898889	105	105
Not Sun Exposed - Skin	0.9163663719672677	-0.07164110444697556	104	104
Nucleus accumbens - Brain	0.9713142552906695	0.01442374371658289	104	104
Ovary	0.9453056118954754	-4.814759149359994e-05	100	100
Pancreas	0.9421416443424757	-0.05310297429058823	104	104
Pituitary	0.9451568219579531	-0.08189545091074048	106	106
Prostate	0.9660734494629327	0.059145340382025784	103	103
Putamen - Brain	0.9299315084195983	-0.10023507058496393	106	106
RPE/Choroid/Sclera - Eye	0.9419497769256934	0.13120149446681267	96	96
Retina - Eye	0.924288162043792	0.1451210964095967	102	102
Sigmoid - Colon	0.959553175363555	-0.025526752318549204	104	104
Skeletal - Muscle	0.9739551821667893	0.115793679089952	102	102
Spinal cord (C1) - Brain	0.9407238210054695	-0.09799178781610134	99	99
Spleen	0.9368128107976442	-0.1970424299857619	98	98
Stomach	0.9681662305964884	-0.010076010903328023	102	102
Subcutaneous - Adipose	0.9379174474671094	-0.13575525699344904	110	110
Substantia nigra - Brain	0.9525288097862805	-0.11101570521802256	101	101
Sun Exposed (Lower leg) - Skin	0.9449259659160781	-0.06996378208220132	109	109
Testis	0.9431010996315085	0.02653885503334786	118	118
Thyroid	0.9764254613311217	-0.05713379006435225	105	105
Tibial - Artery	0.9507626657810848	-0.148053139457998	108	108
Tibial - Nerve	0.9596455608877116	0.03493035160078415	107	107
Transverse - Colon	0.9765914662749593	0.0773780764684021	104	104
Uterus	0.9377709618975012	0.06826918564586922	99	99
Vagina	0.940267221747688	0.052250500309251074	102	102
Visceral (Omentum) - Adipose	0.9689764720408585	0.05632172495774287	104	104
Whole Blood	0.9000222920309959	0.020655439192755747	105	105
Xform. fibroblasts - Cells	0.9006355412883043	0.003369098277976761	101	101
