tissue	spearman_psi	spearman_delta	n_valid_psi	n_valid_delta
Adrenal Gland	0.9558586542162696		102	102
Amygdala - Brain	0.9359744958019988	0.09673244534254492	103	103
Anterior cingulate - Brain	0.971596310596912	-0.07740508739601093	103	103
Aorta - Artery	0.961164220089084	0.004444624894357318	104	104
Atrial Appendage - Heart	0.9692165072563709	0.03254432212490913	106	106
Bladder	0.8673729882359397	0.13864955143801938	90	90
Caudate nucleus - Brain	0.9715289398915891	-0.04651603657180863	106	106
Cerebellar Hemisphere - Brain	0.9593721875718874	0.04524673048098607	103	103
Cerebellum - Brain	0.9694814606304563	-0.010958925093990116	101	101
Coronary - Artery	0.9732198035329211	-0.09859782065633182	103	103
Cortex - Brain	0.9662321921995032	-0.1085868633073051	108	108
Cortex - Kidney	0.934135371669755	-0.23013678062487533	95	95
EBV-xform lymphocytes - Cells	0.9149517429352672	0.012384983991887984	96	96
Ectocervix - Cervix	0.885228567635932	0.02240458104593819	83	83
Endocervix - Cervix	0.8593030100125568	-0.19581977745920898	83	83
Fallopian Tube	0.8934394077821759	-0.007936307174203825	88	88
Frontal Cortex - Brain	0.9646819023602192	0.16958743273415702	108	108
Gastroesoph. Junc. - Esophagus	0.9740723976879349	0.17353444167962068	104	104
Hippocampus - Brain	0.9478691744231906	0.011162204420118811	104	104
Hypothalamus - Brain	0.9643380218157183	-0.05828732255488456	104	104
Ileum - Small Intestine	0.955396820135553	-0.013219186522657085	104	104
Left Ventricle - Heart	0.9628744886969185	0.04166397250233823	103	103
Leukemia (CML) - Cells	0.8978681426612726	0.09190926704186794	89	89
Liver	0.9383269467537941	-0.049440925056833035	101	101
Lung	0.9629807818947358	0.03606162975692215	108	108
Mammary Tissue - Breast	0.9749164542124944	-0.006647256708641942	102	102
Minor Salivary Gland	0.9577927922198328	-0.18966101736244056	101	101
Mucosa - Esophagus	0.9581809409596178	0.039659779779749486	103	103
Muscularis - Esophagus	0.9658965446738639	0.027619377759176025	105	105
Not Sun Exposed - Skin	0.9163663719672677	-0.04371026221408547	104	104
Nucleus accumbens - Brain	0.9712822459011462	0.14507053868650005	104	104
Ovary	0.9453536210174031	0.04946531078180491	100	100
Pancreas	0.9422270166080768	-0.10750823813438268	104	104
Pituitary	0.9452374366450438	0.004912830083255393	106	106
Prostate	0.9659636103491438	0.00565088457992515	103	103
Putamen - Brain	0.9298206324938829	0.036260625301444305	106	106
RPE/Choroid/Sclera - Eye	0.9419497769256934	0.02653278430024023	96	96
Retina - Eye	0.924288162043792	-0.008648209053057427	102	102
Sigmoid - Colon	0.959553175363555	0.001556333643683178	104	104
Skeletal - Muscle	0.9739778003325708	0.06026739996131732	102	102
Spinal cord (C1) - Brain	0.9407238210054695	0.18621382831372518	99	99
Spleen	0.9367490529753172	0.1728850529813284	98	98
Stomach	0.9681096824640322	-0.16488707383395632	102	102
Subcutaneous - Adipose	0.9379174474671094	-0.07635601094271197	110	110
Substantia nigra - Brain	0.9525288097862805	0.26894007935086156	101	101
Sun Exposed (Lower leg) - Skin	0.9449259659160781	-0.005929469184924528	109	109
Testis	0.9431887487719991	-0.20070329911494308	118	118
Thyroid	0.9764254613311217	-0.17840466176644898	105	105
Tibial - Artery	0.9507626657810848	-0.19003986290366914	108	108
Tibial - Nerve	0.9596455608877116	-0.11635724827401325	107	107
Transverse - Colon	0.9765914662749593	-0.0021902739551855296	104	104
Uterus	0.9377709618975012	0.05744476202818372	99	99
Vagina	0.940267221747688	0.025401319368539642	102	102
Visceral (Omentum) - Adipose	0.9689764720408585	0.04133112511126488	104	104
Whole Blood	0.9000222920309959	0.01142379223497122	105	105
Xform. fibroblasts - Cells	0.9006122333674879	0.03696936216140836	101	101
