tissue	spearman_psi	spearman_delta	n_valid_psi	n_valid_delta
Adrenal Gland	0.9558699638107822	-0.19020159170799777	102	102
Amygdala - Brain	0.9359744958019988	0.14336482682565066	103	103
Anterior cingulate - Brain	0.9716072942368177	0.0727030040304505	103	103
Aorta - Artery	0.961164220089084	-0.03790827012543275	104	104
Atrial Appendage - Heart	0.9691762015374911	0.13470420027231356	106	106
Bladder	0.8673729882359397	-0.03875503167204888	90	90
Caudate nucleus - Brain	0.9715289398915891	-0.08529760231235055	106	106
Cerebellar Hemisphere - Brain	0.9593721875718874	0.024761630370791928	103	103
Cerebellum - Brain	0.9694814606304563	-0.21312931020312395	101	101
Coronary - Artery	0.9732198035329211	-0.07941866636115626	103	103
Cortex - Brain	0.9661369105459651	0.041127812337017816	108	108
Cortex - Kidney	0.934135371669755	0.12644043017291007	95	95
EBV-xform lymphocytes - Cells	0.9150060262314714	0.00462162327109541	96	96
Ectocervix - Cervix	0.885228567635932	-0.06455895136191124	83	83
Endocervix - Cervix	0.8593030100125568	-0.07914998033806935	83	83
Fallopian Tube	0.8937056769029312	-0.1433930052411017	88	88
Frontal Cortex - Brain	0.9646628462565048	0.002194953126844216	108	108
Gastroesoph. Junc. - Esophagus	0.9740297185019036	-0.006465648640537691	104	104
Hippocampus - Brain	0.9476770852877942	0.02601370151875995	104	104
Hypothalamus - Brain	0.9642953416049673	0.07532318678377317	104	104
Ileum - Small Intestine	0.955396820135553	-0.047996321507347776	104	104
Left Ventricle - Heart	0.9629184209643652	-0.1483553217944989	103	103
Leukemia (CML) - Cells	0.8978170340171031	-0.11823044546554236	89	89
Liver	0.9383269467537941	-0.031038423637240943	101	101
Lung	0.9630665241487628	-0.05284085531043842	108	108
Mammary Tissue - Breast	0.9749164542124944	-0.088070510489582	102	102
Minor Salivary Gland	0.9578510492871424	-0.07971477817104873	101	101
Mucosa - Esophagus	0.9581809409596178	0.037404477546706845	103	103
Muscularis - Esophagus	0.9658965446738639	-0.004108183121788787	105	105
Not Sun Exposed - Skin	0.9165904263378913	0.024415893078564028	104	104
Nucleus accumbens - Brain	0.9713142552906695	0.08439720300008419	104	104
Ovary	0.9453536210174031	-0.09181049808896274	100	100
Pancreas	0.9421416443424757	-0.10253931939633595	104	104
Pituitary	0.9451568219579531	0.06621665513916805	106	106
Prostate	0.966051481640175	-0.044352250160837194	103	103
Putamen - Brain	0.9299214287899877	0.009690259000719646	106	106
RPE/Choroid/Sclera - Eye	0.9419497769256934	-0.15632308930409441	96	96
Retina - Eye	0.924288162043792	0.19912948523581353	102	102
Sigmoid - Colon	0.959553175363555	-0.12000660835415829	104	104
Skeletal - Muscle	0.9739551821667893	0.035795112549689694	102	102
Spinal cord (C1) - Brain	0.9405134346956174	0.23706829072711766	99	99
Spleen	0.9368128107976442	-0.15651753589761364	98	98
Stomach	0.9681096824640322	0.06795400963674617	102	102
Subcutaneous - Adipose	0.9379174474671094	0.11036977264764418	110	110
Substantia nigra - Brain	0.9525288097862805	-0.008890293684087443	101	101
Sun Exposed (Lower leg) - Skin	0.9449259659160781	-0.0774703692130114	109	109
Testis	0.9430353627761405	-0.15152971792263586	118	118
Thyroid	0.9764254613311217	0.09387079258688541	105	105
Tibial - Artery	0.950896048656847	-0.1881602302945985	108	108
Tibial - Nerve	0.9596455608877116	0.0013786771462485068	107	107
Transverse - Colon	0.9766021356160816	-0.07528145201228263	104	104
Uterus	0.9377709618975012	0.08502387414531219	99	99
Vagina	0.940267221747688	-0.11083332151581764	102	102
Visceral (Omentum) - Adipose	0.9689764720408585	0.14483893458400743	104	104
Whole Blood	0.9000222920309959	0.03572828205999314	105	105
Xform. fibroblasts - Cells	0.9006122333674879	0.030509098214571904	101	101
