tissue	spearman_psi	spearman_delta	n_valid_psi	n_valid_delta
Adrenal Gland	0.9561470488763402	-0.15247891975569391	102	102
Amygdala - Brain	0.9355185632995979	0.04800470267793934	103	103
Anterior cingulate - Brain	0.9714974578377609	0.023413557442947024	103	103
Aorta - Artery	0.9617296861185741	-0.2022590067390297	104	104
Atrial Appendage - Heart	0.9701636916500445	0.162078538635993	106	106
Bladder	0.8673231253628294	0.008005107198131025	90	90
Caudate nucleus - Brain	0.9715994876965782	-0.03832618318653529	106	106
Cerebellar Hemisphere - Brain	0.958976783050237	-0.07313328729879992	103	103
Cerebellum - Brain	0.9690446077165621	-0.1449864707757424	101	101
Coronary - Artery	0.9736261881656675	-0.10454933548796637	103	103
Cortex - Brain	0.9664608681679947	-0.06387691627791627	108	108
Cortex - Kidney	0.9344155436391234	-0.05242068333081525	95	95
EBV-xform lymphocytes - Cells	0.9151010219998289	-0.04433079892668084	96	96
Ectocervix - Cervix	0.8851122904788343	0.07668867480296473	83	83
Endocervix - Cervix	0.8586816541563683	-0.03594739388188336	83	83
Fallopian Tube	0.8941139562214225	0.054679386855140164	88	88
Frontal Cortex - Brain	0.9640197027561437	-0.020932832905504864	108	108
Gastroesoph. Junc. - Esophagus	0.9745365338360239	-0.043162051915514435	104	104
Hippocampus - Brain	0.9469941016952734	0.014443171652520159	104	104
Hypothalamus - Brain	0.9626788286227694	-0.10299135575871386	104	104
Ileum - Small Intestine	0.9564477502360975	0.020634076380514683	104	104
Left Ventricle - Heart	0.9633028283045243	-0.22642203660875648	103	103
Leukemia (CML) - Cells	0.8979703599496114	-0.10225335530286035	89	89
Liver	0.9388513535721094	-0.17457839759353974	101	101
Lung	0.9631808471541321	-0.02886529912192726	108	108
Mammary Tissue - Breast	0.9748372906322599	0.14147072590354148	102	102
Minor Salivary Gland	0.958247197344846	-0.13338613955687	101	101
Mucosa - Esophagus	0.9589497746400856	0.039986160692129874	103	103
Muscularis - Esophagus	0.9660520551890689	-0.0009176975903127486	105	105
Not Sun Exposed - Skin	0.9166917842674592	-0.05695024648044774	104	104
Nucleus accumbens - Brain	0.9710475103779748	0.04916147872878631	104	104
Ovary	0.9457076882916192	0.06496025164590039	100	100
Pancreas	0.9430327173646889	0.1357369069901734	104	104
Pituitary	0.9460133530082908	0.022833213842731858	106	106
Prostate	0.9662327161779266	0.05566402836765677	103	103
Putamen - Brain	0.929165456569201	-0.019439202727796836	106	106
RPE/Choroid/Sclera - Eye	0.9424662489193905	0.10611550311336033	96	96
Retina - Eye	0.9241239317378142	-0.035968530212759676	102	102
Sigmoid - Colon	0.9596598670672324	0.09328538234416957	104	104
Skeletal - Muscle	0.9745658726428843	-0.06951481578705164	102	102
Spinal cord (C1) - Brain	0.9398822757660612	-0.14373272179171873	99	99
Spleen	0.9365641552905688	0.07671732897796474	98	98
Stomach	0.9682114691024534	-0.06609490506608355	102	102
Subcutaneous - Adipose	0.9391031496127832	0.1644193768703478	110	110
Substantia nigra - Brain	0.9521210566464468	-0.27059119974541596	101	101
Sun Exposed (Lower leg) - Skin	0.9454356747107799	-0.041929138880437665	109	109
Testis	0.9427870235447503	0.10921315994241598	118	118
Thyroid	0.9767053701015964	-0.09991081146424553	105	105
Tibial - Artery	0.9504863726812918	-0.08118970723219607	108	108
Tibial - Nerve	0.959586781586838	0.13030663339441687	107	107
Transverse - Colon	0.9769702278848001	-0.018219238444354306	104	104
Uterus	0.9382409884297025	-0.021231439708622648	99	99
Vagina	0.9418678643236437	0.0716308764266766	102	102
Visceral (Omentum) - Adipose	0.9690191490638342	-0.031345840296488514	104	104
Whole Blood	0.9002764711410425	-0.10729526540114145	105	105
Xform. fibroblasts - Cells	0.9005306556446302	-0.09591260930380388	101	101
