tissue	spearman_psi	spearman_delta	n_valid_psi	n_valid_delta
Adrenal Gland	0.9558586542162696	0.15159151697510603	102	102
Amygdala - Brain	0.9357547692948176	-0.09690437173744473	103	103
Anterior cingulate - Brain	0.9716292615166291	0.031925735205993046	103	103
Aorta - Artery	0.961164220089084	0.014457166668966393	104	104
Atrial Appendage - Heart	0.9692165072563709	-0.07247500555448345	106	106
Bladder	0.8673729882359397	-0.04682078735428235	90	90
Caudate nucleus - Brain	0.9715289398915891	-0.06675941452672682	106	106
Cerebellar Hemisphere - Brain	0.9593721875718874	-0.06257253841050016	103	103
Cerebellum - Brain	0.9694814606304563	-0.06958818821438822	101	101
Coronary - Artery	0.9732857037436367	0.06777273463825813	103	103
Cortex - Brain	0.9661369105459651	-0.041637542626894945	108	108
Cortex - Kidney	0.9342054146620973	0.19770832675867456	95	95
EBV-xform lymphocytes - Cells	0.9150060262314714	-0.06953890480104809	96	96
Ectocervix - Cervix	0.885228567635932	0.08730200875885671	83	83
Endocervix - Cervix	0.8591958796925243	0.1124122762045056	83	83
Fallopian Tube	0.8937056769029312	-0.13269922762377248	88	88
Frontal Cortex - Brain	0.9646819023602192	0.01929163393182106	108	108
Gastroesoph. Junc. - Esophagus	0.9740297185019036	-0.09922028247891872	104	104
Hippocampus - Brain	0.9476770852877942	0.0351466077566976	104	104
Hypothalamus - Brain	0.9643380218157183	0.10380434847172547	104	104
Ileum - Small Intestine	0.9555355215701428	0.049008147768570084	104	104
Left Ventricle - Heart	0.9628744886969185	0.07935819491883007	103	103
Leukemia (CML) - Cells	0.8978170340171031	0.115338478783883	89	89
Liver	0.9383269467537941	0.2023140092208909	101	101
Lung	0.9629807818947358	-0.010299154540427458	108	108
Mammary Tissue - Breast	0.9749164542124944	0.017431782239754716	102	102
Minor Salivary Gland	0.9578510492871424	0.08154934427457805	101	101
Mucosa - Esophagus	0.9581809409596178	-0.014806197196205559	103	103
Muscularis - Esophagus	0.9658965446738639	0.010767797097967597	105	105
Not Sun Exposed - Skin	0.9165904263378913	0.027759472922964195	104	104
Nucleus accumbens - Brain	0.9712822459011462	0.033121966995022234	104	104
Ovary	0.9453536210174031	0.058181685235342215	100	100
Pancreas	0.9421416443424757	-0.12312272396189193	104	104
Pituitary	0.9451568219579531	-0.06070884195464886	106	106
Prostate	0.9659636103491438	0.009906840116423187	103	103
Putamen - Brain	0.9299315084195983	-0.08182377115221537	106	106
RPE/Choroid/Sclera - Eye	0.9419497769256934	-0.07727276428749147	96	96
Retina - Eye	0.9244467292357708	-0.18734917837206677	102	102
Sigmoid - Colon	0.959553175363555	-0.0015546582033596668	104	104
Skeletal - Muscle	0.9739551821667893	0.027556681314777093	102	102
Spinal cord (C1) - Brain	0.9407238210054695	0.014561961165253696	99	99
Spleen	0.9367490529753172	0.11089953741737574	98	98
Stomach	0.9681096824640322	-0.1770871919871201	102	102
Subcutaneous - Adipose	0.9379174474671094	-0.10610676469101983	110	110
Substantia nigra - Brain	0.952493859517152	0.19796689414407587	101	101
Sun Exposed (Lower leg) - Skin	0.9449259659160781	0.06494649296162121	109	109
Testis	0.9431887487719991	0.07067868380375003	118	118
Thyroid	0.9764254613311217	-0.1644489417406277	105	105
Tibial - Artery	0.9507626657810848	0.2355810277043811	108	108
Tibial - Nerve	0.9596455608877116	-0.07045593349389302	107	107
Transverse - Colon	0.9765914662749593	0.028746600128265645	104	104
Uterus	0.9377709618975012	0.02049577067721067	99	99
Vagina	0.9403916533260308	0.024351967086247144	102	102
Visceral (Omentum) - Adipose	0.9689658027851143	0.015764109054458526	104	104
Whole Blood	0.9000222920309959	0.022929478091170536	105	105
Xform. fibroblasts - Cells	0.9006122333674879	-0.05401083099010339	101	101
