tissue	spearman_psi	spearman_delta	n_valid_psi	n_valid_delta
Adrenal Gland	0.9557512130684002	0.04977108267600347	102	102
Amygdala - Brain	0.9358151940842925	0.12391303854511615	103	103
Anterior cingulate - Brain	0.9715084414776665	-0.01273262887288253	103	103
Aorta - Artery	0.9617830319704128	0.09334940814288556	104	104
Atrial Appendage - Heart	0.9697203287423675	0.037135869681294495	106	106
Bladder	0.8666749080123929	-0.08819000962589049	90	90
Caudate nucleus - Brain	0.9713475312501886	0.06088815145893738	106	106
Cerebellar Hemisphere - Brain	0.9592953033593442	0.028884160411137807	103	103
Cerebellum - Brain	0.969172751237971	0.1453943977434436	101	101
Coronary - Artery	0.9732417702698263	0.10282355492634908	103	103
Cortex - Brain	0.966089269719196	-0.005230526658520486	108	108
Cortex - Kidney	0.9347027199077261	0.2942778163422184	95	95
EBV-xform lymphocytes - Cells	0.9144835495055053	0.09559434469015167	96	96
Ectocervix - Cervix	0.8858945186265831	-0.11347308251075854	83	83
Endocervix - Cervix	0.8601172004448037	0.006902965607789362	83	83
Fallopian Tube	0.8929601233648166	0.0019569655635518547	88	88
Frontal Cortex - Brain	0.9649391597603637	0.10901816766071605	108	108
Gastroesoph. Junc. - Esophagus	0.9740937372809503	-0.010082285318902024	104	104
Hippocampus - Brain	0.9478585028045575	-0.17294154961162964	104	104
Hypothalamus - Brain	0.9640019151560535	0.0865944083113552	104	104
Ileum - Small Intestine	0.9560209765912063	0.010066556373329589	104	104
Left Ventricle - Heart	0.9631380823015989	-0.0822289252949242	103	103
Leukemia (CML) - Cells	0.897322983790132	-0.10446188727221786	89	89
Liver	0.9389562349357724	0.0919251657064767	101	101
Lung	0.963171320237018	0.12494251951329574	108	108
Mammary Tissue - Breast	0.9749390723782756	0.1161480988799484	102	102
Minor Salivary Gland	0.9578160950467567	0.006639700168525537	101	101
Mucosa - Esophagus	0.957692182405606	-0.13231370916188542	103	103
Muscularis - Esophagus	0.9669332814418975	0.19914553254847742	105	105
Not Sun Exposed - Skin	0.9164090489902436	0.032860120138074884	104	104
Nucleus accumbens - Brain	0.9710261707849592	-0.05464249272119656	104	104
Ovary	0.9460557544255948	-0.03717292043676193	100	100
Pancreas	0.9419975786442736	-0.0901427504344306	104	104
Pituitary	0.9450560535990898	0.06613864584139918	106	106
Prostate	0.9661448448868956	-0.09124180540319757	103	103
Putamen - Brain	0.9297500750866093	-0.014378010420331797	106	106
RPE/Choroid/Sclera - Eye	0.9419022071368004	0.15605897952710893	96	96
Retina - Eye	0.924543002173758	0.09084289526840934	102	102
Sigmoid - Colon	0.9596065212153937	0.06091114426503612	104	104
Skeletal - Muscle	0.9742831455706181	-0.09476956143247384	102	102
Spinal cord (C1) - Brain	0.9397028286194228	-0.12739468089047912	99	99
Spleen	0.9366087857661978	-0.049391077243392596	98	98
Stomach	0.9680870632110496	-0.04266068807497498	102	102
Subcutaneous - Adipose	0.9390084737760565	0.11109667552768791	110	110
Substantia nigra - Brain	0.9525288097862805	0.20756956796160353	101	101
Sun Exposed (Lower leg) - Skin	0.9450649774055423	0.1634871999465701	109	109
Testis	0.9431376201067131	0.08448800856564875	118	118
Thyroid	0.9765394982376113	0.09463791496048105	105	105
Tibial - Artery	0.9512866699358647	0.10229311387741923	108	108
Tibial - Nerve	0.9600423211686083	0.10405855241473995	107	107
Transverse - Colon	0.9767515063917934	0.01587860065692674	104	104
Uterus	0.9378946530901858	0.16059336307242678	99	99
Vagina	0.9401031983035087	-0.04227775805640926	102	102
Visceral (Omentum) - Adipose	0.9692912150853059	-0.1372574736289218	104	104
Whole Blood	0.9000689779899841	-0.06531131845148638	105	105
Xform. fibroblasts - Cells	0.9012298932691238	0.03749089803926164	101	101
